epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3026,1.86965,1.58722,1.42918,0.32712,0.79861,0.58963,0.27079,1.55734,8.11477,1.29852,0.00062,0.00062,0.00062
2,26.1054,1.72985,1.22398,1.34846,0.14168,0.57202,0.1168,0.04541,2.0308,14.277,1.6624,0.00123505,0.00123505,0.00123505
3,38.3701,1.84282,1.32569,1.4103,0.59845,0.3933,0.45848,0.18701,2.13716,2.80849,1.9256,0.00182476,0.00182476,0.00182476
4,46.0796,1.81725,1.34028,1.40614,0.44607,0.25724,0.23221,0.09602,2.72584,4.38153,2.20563,0.0018812,0.0018812,0.0018812
5,57.8563,1.80045,1.35446,1.41135,0.53679,0.52083,0.54869,0.2317,2.00835,1.53641,1.65002,0.0018416,0.0018416,0.0018416
6,65.4231,1.79914,1.29761,1.37575,0.53647,0.58333,0.568,0.24603,1.85975,1.91336,1.49821,0.001802,0.001802,0.001802
7,78.0716,1.74617,1.2703,1.37426,0.65791,0.53423,0.56054,0.27158,1.86292,1.38837,1.4843,0.0017624,0.0017624,0.0017624
8,87.9603,1.72588,1.22799,1.34502,0.56873,0.65278,0.59719,0.24807,1.91762,1.37712,1.46467,0.0017228,0.0017228,0.0017228
9,99.9882,1.69974,1.23303,1.33099,0.68059,0.63889,0.64316,0.3047,1.75385,1.23678,1.45126,0.0016832,0.0016832,0.0016832
10,107.644,1.65425,1.13734,1.30447,0.69596,0.69444,0.69162,0.3325,1.77153,1.20531,1.41653,0.0016436,0.0016436,0.0016436
11,120.206,1.65337,1.16304,1.31335,0.71972,0.65278,0.70044,0.33836,1.74895,1.25235,1.37876,0.001604,0.001604,0.001604
12,127.957,1.59172,1.12863,1.2835,0.8091,0.59722,0.69978,0.30988,1.84875,1.34084,1.40954,0.0015644,0.0015644,0.0015644
13,139.784,1.56601,1.10638,1.26595,0.77769,0.6875,0.74068,0.37336,1.73804,1.11223,1.41347,0.0015248,0.0015248,0.0015248
14,147.983,1.59478,1.0814,1.26591,0.79782,0.67361,0.72616,0.35328,1.76952,1.13184,1.40795,0.0014852,0.0014852,0.0014852
15,158.315,1.55629,1.04303,1.26489,0.76685,0.66241,0.71421,0.36932,1.65782,1.25137,1.42119,0.0014456,0.0014456,0.0014456
16,166.885,1.53478,1.0282,1.25285,0.84425,0.66667,0.73683,0.38552,1.62555,1.07268,1.36231,0.001406,0.001406,0.001406
17,177.143,1.51044,1.03397,1.24613,0.78337,0.70314,0.75817,0.36358,1.77076,1.14231,1.43808,0.0013664,0.0013664,0.0013664
18,186.448,1.51593,1.03261,1.23678,0.79427,0.69444,0.74644,0.33682,1.68436,1.28295,1.3891,0.0013268,0.0013268,0.0013268
